Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Inhibition versus facilitation of contralesional motor cortices in stroke: Deriving a model to tailor brain stimulation.","/pubmed/28402865","Sankarasubramanian V, Machado AG, Conforto AB, Potter-Baker KA, Cunningham DA, Varnerin NM, Wang X, Sakaie K, Plow EB.","Clin Neurophysiol. 2017 Jun;128(6):892-902. doi: 10.1016/j.clinph.2017.03.030. Epub 2017 Mar 21.","Clin Neurophysiol.  2017","PubMed","citation","PMID:28402865 | PMCID:PMC5493996","pubmed","28402865","create date:2017/04/14 | first author:Sankarasubramanian V",
"Effects of abstinence and chronic cigarette smoking on white matter microstructure in alcohol dependence: Diffusion tensor imaging at 4T.","/pubmed/28384535","Zou Y, Murray DE, Durazzo TC, Schmidt TP, Murray TA, Meyerhoff DJ.","Drug Alcohol Depend. 2017 Jun 1;175:42-50. doi: 10.1016/j.drugalcdep.2017.01.032. Epub 2017 Mar 19.","Drug Alcohol Depend.  2017","PubMed","citation","PMID:28384535 | PMCID:PMC5444327","pubmed","28384535","create date:2017/04/07 | first author:Zou Y",
"Potassium channel gene associations with joint processing speed and white matter impairments in schizophrenia.","/pubmed/28188958","Bruce HA, Kochunov P, Paciga SA, Hyde CL, Chen X, Xie Z, Zhang B, Xi HS, O'Donnell P, Whelan C, Schubert CR, Bellon A, Ament SA, Shukla DK, Du X, Rowland LM, O'Neill H, Hong LE.","Genes Brain Behav. 2017 Jun;16(5):515-521. doi: 10.1111/gbb.12372. Epub 2017 Mar 13.","Genes Brain Behav.  2017","PubMed","citation","PMID:28188958 | PMCID:PMC5457349","pubmed","28188958","create date:2017/02/12 | first author:Bruce HA",
"Using clinically acquired MRI to construct age-specific ADC atlases: Quantifying spatiotemporal ADC changes from birth to 6-year old.","/pubmed/28371107","Ou Y, Zöllei L, Retzepi K, Castro V, Bates SV, Pieper S, Andriole KP, Murphy SN, Gollub RL, Grant PE.","Hum Brain Mapp. 2017 Jun;38(6):3052-3068. doi: 10.1002/hbm.23573. Epub 2017 Mar 31.","Hum Brain Mapp.  2017","PubMed","citation","PMID:28371107 | PMCID:PMC5426959","pubmed","28371107","create date:2017/04/04 | first author:Ou Y",
"Neuroplasticity of language in left-hemisphere stroke: Evidence linking subsecond electrophysiology and structural connections.","/pubmed/28345282","Piai V, Meyer L, Dronkers NF, Knight RT.","Hum Brain Mapp. 2017 Jun;38(6):3151-3162. doi: 10.1002/hbm.23581. Epub 2017 Mar 27.","Hum Brain Mapp.  2017","PubMed","citation","PMID:28345282 | PMCID:PMC5610921","pubmed","28345282","create date:2017/03/28 | first author:Piai V",
"Spatio-angular consistent construction of neonatal diffusion MRI atlases.","/pubmed/28345171","Saghafi B, Kim J, Chen G, Shi F, Lin W, Yap PT, Shen D.","Hum Brain Mapp. 2017 Jun;38(6):3175-3189. doi: 10.1002/hbm.23583. Epub 2017 Mar 27.","Hum Brain Mapp.  2017","PubMed","citation","PMID:28345171 | PMCID:PMC5427004","pubmed","28345171","create date:2017/03/28 | first author:Saghafi B",
"Assessing connectivity related injury burden in diffuse traumatic brain injury.","/pubmed/28294464","Solmaz B, Tunç B, Parker D, Whyte J, Hart T, Rabinowitz A, Rohrbach M, Kim J, Verma R.","Hum Brain Mapp. 2017 Jun;38(6):2913-2922. doi: 10.1002/hbm.23561. Epub 2017 Mar 15.","Hum Brain Mapp.  2017","PubMed","citation","PMID:28294464 | PMCID:PMC5426975","pubmed","28294464","create date:2017/03/16 | first author:Solmaz B",
"Structural and functional brain network correlates of depressive symptoms in premanifest Huntington's disease.","/pubmed/28294457","McColgan P, Razi A, Gregory S, Seunarine KK, Durr A, A C Roos R, Leavitt BR, Scahill RI, Clark CA, Langbehn DR, Rees G, Tabrizi SJ; Track On-HD Investigators..","Hum Brain Mapp. 2017 Jun;38(6):2819-2829. doi: 10.1002/hbm.23527. Epub 2017 Mar 15.","Hum Brain Mapp.  2017","PubMed","citation","PMID:28294457 | PMCID:PMC5434856","pubmed","28294457","create date:2017/03/16 | first author:McColgan P",
"HFPRM: Hierarchical Functional Principal Regression Model for Diffusion Tensor Image Bundle Statistics.","/pubmed/28947871","Zhang J, Huang C, Ibrahim JG, Jha S, Knickmeyer RC, Gilmore JH, Styner M, Zhu H.","Inf Process Med Imaging. 2017 Jun;10265:478-489. doi: 10.1007/978-3-319-59050-9_38. Epub 2017 May 23.","Inf Process Med Imaging.  2017","PubMed","citation","PMID:28947871 | PMCID:PMC5609856","pubmed","28947871","create date:2017/09/28 | first author:Zhang J",
"Cocaine dependence does not contribute substantially to white matter abnormalities in HIV infection.","/pubmed/28251596","Cordero DM, Towe SL, Chen NK, Robertson KR, Madden DJ, Huettel SA, Meade CS.","J Neurovirol. 2017 Jun;23(3):441-450. doi: 10.1007/s13365-017-0512-5. Epub 2017 Mar 1.","J Neurovirol.  2017","PubMed","citation","PMID:28251596 | PMCID:PMC5441941","pubmed","28251596","create date:2017/03/03 | first author:Cordero DM",
"White matter hyperintensities correlate to cognition and fiber tract integrity in older adults with HIV.","/pubmed/28101804","Watson C, Busovaca E, Foley JM, Allen IE, Schwarz CG, Jahanshad N, Nir TM, Esmaeili-Firidouni P, Milanini B, Rosen H, Carmichael OT, Thompson PM, Valcour VG.","J Neurovirol. 2017 Jun;23(3):422-429. doi: 10.1007/s13365-016-0509-5. Epub 2017 Jan 18.","J Neurovirol.  2017","PubMed","citation","PMID:28101804 | PMCID:PMC5826904","pubmed","28101804","create date:2017/01/20 | first author:Watson C",
"A comparison of structural connectivity in anxious depression versus non-anxious depression.","/pubmed/28157545","Delaparte L, Yeh FC, Adams P, Malchow A, Trivedi MH, Oquendo MA, Deckersbach T, Ogden T, Pizzagalli DA, Fava M, Cooper C, McInnis M, Kurian BT, Weissman MM, McGrath PJ, Klein DN, Parsey RV, DeLorenzo C.","J Psychiatr Res. 2017 Jun;89:38-47. doi: 10.1016/j.jpsychires.2017.01.012. Epub 2017 Jan 24.","J Psychiatr Res.  2017","PubMed","citation","PMID:28157545 | PMCID:PMC5374003","pubmed","28157545","create date:2017/02/06 | first author:Delaparte L",
"Hemispheric lateralization abnormalities of the white matter microstructure in patients with schizophrenia and bipolar disorder.","/pubmed/28234211","Ho NF, Li Z, Ji F, Wang M, Kuswanto CN, Sum MY, Tng HY, Sitoh YY, Sim K, Zhou J.","J Psychiatry Neurosci. 2017 Jun;42(4):242-251.","J Psychiatry Neurosci.  2017","PubMed","citation","PMID:28234211 | PMCID:PMC5487271","pubmed","28234211","create date:2017/02/25 | first author:Ho NF",
"Joint eigenvector estimation from mutually anisotropic tensors improves susceptibility tensor imaging of the brain, kidney, and heart.","/pubmed/27385561","Dibb R, Liu C.","Magn Reson Med. 2017 Jun;77(6):2331-2346. doi: 10.1002/mrm.26321. Epub 2016 Jul 6.","Magn Reson Med.  2017","PubMed","citation","PMID:27385561 | PMCID:PMC5527550","pubmed","27385561","create date:2016/07/08 | first author:Dibb R",
"Injury of the dentato-rubro-thalamic tract in patients with cerebellar infarct: Case report.","/pubmed/28640114","Jang SH, Kwon HG.","Medicine (Baltimore). 2017 Jun;96(25):e7220. doi: 10.1097/MD.0000000000007220.","Medicine (Baltimore).  2017","PubMed","citation","PMID:28640114 | PMCID:PMC5484222","pubmed","28640114","create date:2017/06/24 | first author:Jang SH",
"A Unified Theory of Neuro-MRI Data Shows Scale-Free Nature of Connectivity Modes.","/pubmed/28333589","Galinsky VL, Frank LR.","Neural Comput. 2017 Jun;29(6):1441-1467. doi: 10.1162/NECO_a_00955. Epub 2017 Mar 23.","Neural Comput.  2017","PubMed","citation","PMID:28333589 | PMCID:PMC6031446","pubmed","28333589","create date:2017/03/24 | first author:Galinsky VL",
"Sources of disconnection in neurocognitive aging: cerebral white-matter integrity, resting-state functional connectivity, and white-matter hyperintensity volume.","/pubmed/28389085","Madden DJ, Parks EL, Tallman CW, Boylan MA, Hoagey DA, Cocjin SB, Packard LE, Johnson MA, Chou YH, Potter GG, Chen NK, Siciliano RE, Monge ZA, Honig JA, Diaz MT.","Neurobiol Aging. 2017 Jun;54:199-213. doi: 10.1016/j.neurobiolaging.2017.01.027. Epub 2017 Mar 18.","Neurobiol Aging.  2017","PubMed","citation","PMID:28389085 | PMCID:PMC5401777","pubmed","28389085","create date:2017/04/09 | first author:Madden DJ",
"Quantitative validation of a nonlinear histology-MRI coregistration method using generalized Q-sampling imaging in complex human cortical white matter.","/pubmed/28365421","Gangolli M, Holleran L, Hee Kim J, Stein TD, Alvarez V, McKee AC, Brody DL.","Neuroimage. 2017 Jun;153:152-167. doi: 10.1016/j.neuroimage.2017.03.059. Epub 2017 Mar 30.","Neuroimage.  2017","PubMed","citation","PMID:28365421 | PMCID:PMC5497585","pubmed","28365421","create date:2017/04/04 | first author:Gangolli M",
"Divergent Influences of Cardiovascular Disease Risk Factor Domains on Cognition and Gray and White Matter Morphology.","/pubmed/28498826","Gonzales MM, Ajilore O, Charlton RC, Cohen J, Yang S, Sieg E, Bhaumik DK, Kumar A, Lamar M.","Psychosom Med. 2017 Jun;79(5):541-548. doi: 10.1097/PSY.0000000000000448.","Psychosom Med.  2017","PubMed","citation","PMID:28498826 | PMCID:PMC5453811","pubmed","28498826","create date:2017/05/13 | first author:Gonzales MM",
"Elevated nucleus accumbens structural connectivity associated with proneness to hypomania: a reward hypersensitivity perspective.","/pubmed/28338785","Damme KS, Young CB, Nusslock R.","Soc Cogn Affect Neurosci. 2017 Jun 1;12(6):928-936. doi: 10.1093/scan/nsx017.","Soc Cogn Affect Neurosci.  2017","PubMed","citation","PMID:28338785 | PMCID:PMC5472153","pubmed","28338785","create date:2017/03/25 | first author:Damme KS",
"Aortic Stiffness, Increased White Matter Free Water, and Altered Microstructural Integrity: A Continuum of Injury.","/pubmed/28473633","Maillard P, Mitchell GF, Himali JJ, Beiser A, Fletcher E, Tsao CW, Pase MP, Satizabal CL, Vasan RS, Seshadri S, DeCarli C.","Stroke. 2017 Jun;48(6):1567-1573. doi: 10.1161/STROKEAHA.116.016321. Epub 2017 May 4.","Stroke.  2017","PubMed","citation","PMID:28473633 | PMCID:PMC5502744","pubmed","28473633","create date:2017/05/06 | first author:Maillard P",
"Diagnostic potential of multimodal neuroimaging in posttraumatic stress disorder.","/pubmed/28558004","Im JJ, Kim B, Hwang J, Kim JE, Kim JY, Rhie SJ, Namgung E, Kang I, Moon S, Lyoo IK, Park CH, Yoon S.","PLoS One. 2017 May 30;12(5):e0177847. doi: 10.1371/journal.pone.0177847. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28558004 | PMCID:PMC5448741","pubmed","28558004","create date:2017/05/31 | first author:Im JJ",
"Multiparametric MRI to distinguish early onset Alzheimer's disease and behavioural variant of frontotemporal dementia.","/pubmed/28616383","Canu E, Agosta F, Mandic-Stojmenovic G, Stojković T, Stefanova E, Inuggi A, Imperiale F, Copetti M, Kostic VS, Filippi M.","Neuroimage Clin. 2017 May 25;15:428-438. doi: 10.1016/j.nicl.2017.05.018. eCollection 2017.","Neuroimage Clin.  2017","PubMed","citation","PMID:28616383 | PMCID:PMC5458769","pubmed","28616383","create date:2017/06/16 | first author:Canu E",
"Voxelwise distribution of acute ischemic stroke lesions in patients with newly diagnosed atrial fibrillation: Trigger of arrhythmia or only target of embolism?","/pubmed/28542605","Rizos T, Bartsch AJ, Johnson TD, Dittgen F, Nichols TE, Malzahn U, Veltkamp R.","PLoS One. 2017 May 24;12(5):e0177474. doi: 10.1371/journal.pone.0177474. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28542605 | PMCID:PMC5443524","pubmed","28542605","create date:2017/05/26 | first author:Rizos T",
"Are there differences in brain morphology according to handedness?","/pubmed/28729936","Jang H, Lee JY, Lee KI, Park KM.","Brain Behav. 2017 May 23;7(7):e00730. doi: 10.1002/brb3.730. eCollection 2017 Jul.","Brain Behav.  2017","PubMed","citation","PMID:28729936 | PMCID:PMC5516604","pubmed","28729936","create date:2017/07/22 | first author:Jang H",
"Picture free recall performance linked to the brain's structural connectome.","/pubmed/28729929","Coynel D, Gschwind L, Fastenrath M, Freytag V, Milnik A, Spalek K, Papassotiropoulos A, de Quervain DJ.","Brain Behav. 2017 May 23;7(7):e00721. doi: 10.1002/brb3.721. eCollection 2017 Jul.","Brain Behav.  2017","PubMed","citation","PMID:28729929 | PMCID:PMC5516597","pubmed","28729929","create date:2017/07/22 | first author:Coynel D",
"Fiber Connections of the Supplementary Motor Area Revisited: Methodology of Fiber Dissection, DTI, and Three Dimensional Documentation.","/pubmed/28570516","Bozkurt B, Yagmurlu K, Middlebrooks EH, Cayci Z, Cevik OM, Karadag A, Moen S, Tanriover N, Grande AW.","J Vis Exp. 2017 May 23;(123). doi: 10.3791/55681.","J Vis Exp.  2017","PubMed","citation","PMID:28570516 | PMCID:PMC5608134","pubmed","28570516","create date:2017/06/02 | first author:Bozkurt B",
"Gender differences in the structural connectome of the teenage brain revealed by generalized q-sampling MRI.","/pubmed/28580294","Tyan YS, Liao JR, Shen CY, Lin YC, Weng JC.","Neuroimage Clin. 2017 May 22;15:376-382. doi: 10.1016/j.nicl.2017.05.014. eCollection 2017.","Neuroimage Clin.  2017","PubMed","citation","PMID:28580294 | PMCID:PMC5447512","pubmed","28580294","create date:2017/06/06 | first author:Tyan YS",
"Exploring the role of white matter connectivity in cortex maturation.","/pubmed/28545040","Friedrichs-Maeder CL, Griffa A, Schneider J, Hüppi PS, Truttmann A, Hagmann P.","PLoS One. 2017 May 17;12(5):e0177466. doi: 10.1371/journal.pone.0177466. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28545040 | PMCID:PMC5435226","pubmed","28545040","create date:2017/05/26 | first author:Friedrichs-Maeder CL",
"Multiple modality biomarker prediction of cognitive impairment in prospectively followed de novo Parkinson disease.","/pubmed/28520803","Caspell-Garcia C, Simuni T, Tosun-Turgut D, Wu IW, Zhang Y, Nalls M, Singleton A, Shaw LA, Kang JH, Trojanowski JQ, Siderowf A, Coffey C, Lasch S, Aarsland D, Burn D, Chahine LM, Espay AJ, Foster ED, Hawkins KA, Litvan I, Richard I, Weintraub D; et al.","PLoS One. 2017 May 17;12(5):e0175674. doi: 10.1371/journal.pone.0175674. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28520803 | PMCID:PMC5435130","pubmed","28520803","create date:2017/05/19 | first author:Caspell-Garcia C",
"Functional connectivity and activity of white matter in somatosensory pathways under tactile stimulations.","/pubmed/28284801","Wu X, Yang Z, Bailey SK, Zhou J, Cutting LE, Gore JC, Ding Z.","Neuroimage. 2017 May 15;152:371-380. doi: 10.1016/j.neuroimage.2017.02.074. Epub 2017 Mar 8.","Neuroimage.  2017","PubMed","citation","PMID:28284801 | PMCID:PMC5432381","pubmed","28284801","create date:2017/03/13 | first author:Wu X",
"Image quality transfer and applications in diffusion MRI.","/pubmed/28263925","Alexander DC, Zikic D, Ghosh A, Tanno R, Wottschel V, Zhang J, Kaden E, Dyrby TB, Sotiropoulos SN, Zhang H, Criminisi A.","Neuroimage. 2017 May 15;152:283-298. doi: 10.1016/j.neuroimage.2017.02.089. Epub 2017 Mar 3.","Neuroimage.  2017","PubMed","citation","PMID:28263925","pubmed","28263925","create date:2017/03/07 | first author:Alexander DC",
"Comparison of large-scale human brain functional and anatomical networks in schizophrenia.","/pubmed/28616384","Nelson BG, Bassett DS, Camchong J, Bullmore ET, Lim KO.","Neuroimage Clin. 2017 May 14;15:439-448. doi: 10.1016/j.nicl.2017.05.007. eCollection 2017.","Neuroimage Clin.  2017","PubMed","citation","PMID:28616384 | PMCID:PMC5459352","pubmed","28616384","create date:2017/06/16 | first author:Nelson BG",
"White matter integrity in dyskinetic cerebral palsy: Relationship with intelligence quotient and executive function.","/pubmed/28702354","Laporta-Hoyos O, Pannek K, Ballester-Plané J, Reid LB, Vázquez É, Delgado I, Zubiaurre-Elorza L, Macaya A, Póo P, Meléndez-Plumed M, Junqué C, Boyd R, Pueyo R.","Neuroimage Clin. 2017 May 12;15:789-800. doi: 10.1016/j.nicl.2017.05.005. eCollection 2017.","Neuroimage Clin.  2017","PubMed","citation","PMID:28702354 | PMCID:PMC5496484","pubmed","28702354","create date:2017/07/14 | first author:Laporta-Hoyos O",
"Machine-learning classification of 22q11.2 deletion syndrome: A diffusion tensor imaging study.","/pubmed/28761808","Tylee DS, Kikinis Z, Quinn TP, Antshel KM, Fremont W, Tahir MA, Zhu A, Gong X, Glatt SJ, Coman IL, Shenton ME, Kates WR, Makris N.","Neuroimage Clin. 2017 May 11;15:832-842. doi: 10.1016/j.nicl.2017.04.029. eCollection 2017.","Neuroimage Clin.  2017","PubMed","citation","PMID:28761808 | PMCID:PMC5522376","pubmed","28761808","create date:2017/08/02 | first author:Tylee DS",
"Sexual dimorphism of volume reduction but not cognitive deficit in fetal alcohol spectrum disorders: A combined diffusion tensor imaging, cortical thickness and brain volume study.","/pubmed/28560153","Treit S, Chen Z, Zhou D, Baugh L, Rasmussen C, Andrew G, Pei J, Beaulieu C.","Neuroimage Clin. 2017 May 10;15:284-297. doi: 10.1016/j.nicl.2017.05.006. eCollection 2017.","Neuroimage Clin.  2017","PubMed","citation","PMID:28560153 | PMCID:PMC5440763","pubmed","28560153","create date:2017/06/01 | first author:Treit S",
"The effect of crack cocaine addiction and age on the microstructure and morphology of the human striatum and thalamus using shape analysis and fast diffusion kurtosis imaging.","/pubmed/28485734","Garza-Villarreal EA, Chakravarty MM, Hansen B, Eskildsen SF, Devenyi GA, Castillo-Padilla D, Balducci T, Reyes-Zamorano E, Jespersen SN, Perez-Palacios P, Patel R, Gonzalez-Olvera JJ.","Transl Psychiatry. 2017 May 9;7(5):e1122. doi: 10.1038/tp.2017.92.","Transl Psychiatry.  2017","PubMed","citation","PMID:28485734 | PMCID:PMC5534960","pubmed","28485734","create date:2017/05/10 | first author:Garza-Villarreal EA",
"Diffusion Kurtosis Imaging of Microstructural Alterations in the Brains of Paediatric Patients with Congenital Sensorineural Hearing Loss.","/pubmed/28484279","Zheng W, Wu C, Huang L, Wu R.","Sci Rep. 2017 May 8;7(1):1543. doi: 10.1038/s41598-017-01263-9.","Sci Rep.  2017","PubMed","citation","PMID:28484279 | PMCID:PMC5431550","pubmed","28484279","create date:2017/05/10 | first author:Zheng W",
"Semi-automated brain tumor segmentation on multi-parametric MRI using regularized non-negative matrix factorization.","/pubmed/28472943","Sauwen N, Acou M, Sima DM, Veraart J, Maes F, Himmelreich U, Achten E, Huffel SV.","BMC Med Imaging. 2017 May 4;17(1):29. doi: 10.1186/s12880-017-0198-4.","BMC Med Imaging.  2017","PubMed","citation","PMID:28472943 | PMCID:PMC5418702","pubmed","28472943","create date:2017/05/06 | first author:Sauwen N",
"Epigenetic Age Acceleration Assessed with Human White-Matter Images.","/pubmed/28385874","Hodgson K, Carless MA, Kulkarni H, Curran JE, Sprooten E, Knowles EE, Mathias S, Göring HHH, Yao N, Olvera RL, Fox PT, Almasy L, Duggirala R, Blangero J, Glahn DC.","J Neurosci. 2017 May 3;37(18):4735-4743. doi: 10.1523/JNEUROSCI.0177-17.2017. Epub 2017 Apr 6.","J Neurosci.  2017","PubMed","citation","PMID:28385874 | PMCID:PMC5426566","pubmed","28385874","create date:2017/04/08 | first author:Hodgson K",
"Integrity of normal-appearing white matter and functional outcomes after acute ischemic stroke.","/pubmed/28381507","Etherton MR, Wu O, Cougo P, Giese AK, Cloonan L, Fitzpatrick KM, Kanakis AS, Boulouis G, Karadeli HH, Lauer A, Rosand J, Furie KL, Rost NS.","Neurology. 2017 May 2;88(18):1701-1708. doi: 10.1212/WNL.0000000000003890. Epub 2017 Apr 5.","Neurology.  2017","PubMed","citation","PMID:28381507 | PMCID:PMC5409847","pubmed","28381507","create date:2017/04/07 | first author:Etherton MR",
"Image-driven modeling of the proliferation and necrosis of glioblastoma multiforme.","/pubmed/28464925","Patel V, Hathout L.","Theor Biol Med Model. 2017 May 2;14(1):10. doi: 10.1186/s12976-017-0056-7.","Theor Biol Med Model.  2017","PubMed","citation","PMID:28464925 | PMCID:PMC5414170","pubmed","28464925","create date:2017/05/04 | first author:Patel V",
"Postoperative neuroimaging analysis of DRT deep brain stimulation revision surgery for complicated essential tremor.","/pubmed/28283867","Coenen VA, Varkuti B, Parpaley Y, Skodda S, Prokop T, Urbach H, Li M, Reinacher PC.","Acta Neurochir (Wien). 2017 May;159(5):779-787. doi: 10.1007/s00701-017-3134-z. Epub 2017 Mar 10.","Acta Neurochir (Wien).  2017","PubMed","citation","PMID:28283867 | PMCID:PMC5385205","pubmed","28283867","create date:2017/03/12 | first author:Coenen VA",
"White matter hyperintensity lesion burden is associated with the infarct volume and 90-day outcome in small subcortical infarcts.","/pubmed/27573379","Helenius J, Mayasi Y, Henninger N.","Acta Neurol Scand. 2017 May;135(5):585-592. doi: 10.1111/ane.12670. Epub 2016 Aug 29.","Acta Neurol Scand.  2017","PubMed","citation","PMID:27573379 | PMCID:PMC5332524","pubmed","27573379","create date:2016/08/31 | first author:Helenius J",
"Acute Cytotoxic and Vasogenic Edema after Subarachnoid Hemorrhage: A Quantitative MRI Study.","/pubmed/28364004","Weimer JM, Jones SE, Frontera JA.","AJNR Am J Neuroradiol. 2017 May;38(5):928-934. doi: 10.3174/ajnr.A5181. Epub 2017 Mar 31.","AJNR Am J Neuroradiol.  2017","PubMed","citation","PMID:28364004","pubmed","28364004","create date:2017/04/02 | first author:Weimer JM",
"Brain Development in Fetuses of Mothers with Diabetes: A Case-Control MR Imaging Study.","/pubmed/28302607","Denison FC, Macnaught G, Semple SIK, Terris G, Walker J, Anblagan D, Serag A, Reynolds RM, Boardman JP.","AJNR Am J Neuroradiol. 2017 May;38(5):1037-1044. doi: 10.3174/ajnr.A5118. Epub 2017 Mar 16.","AJNR Am J Neuroradiol.  2017","PubMed","citation","PMID:28302607","pubmed","28302607","create date:2017/03/18 | first author:Denison FC",
"Longitudinal differences in white matter integrity in youth at high familial risk for bipolar disorder.","/pubmed/28470928","Ganzola R, Nickson T, Bastin ME, Giles S, Macdonald A, Sussmann J, McIntosh AM, Whalley HC, Duchesne S.","Bipolar Disord. 2017 May;19(3):158-167. doi: 10.1111/bdi.12489. Epub 2017 May 3.","Bipolar Disord.  2017","PubMed","citation","PMID:28470928","pubmed","28470928","create date:2017/05/05 | first author:Ganzola R",
"A Bayesian Double Fusion Model for Resting-State Brain Connectivity Using Joint Functional and Structural Data.","/pubmed/28316255","Kang H, Ombao H, Fonnesbeck C, Ding Z, Morgan VL.","Brain Connect. 2017 May;7(4):219-227. doi: 10.1089/brain.2016.0447. Epub 2017 Apr 24.","Brain Connect.  2017","PubMed","citation","PMID:28316255 | PMCID:PMC5444499","pubmed","28316255","create date:2017/03/21 | first author:Kang H",
"Cerebello-cerebral connectivity in the developing brain.","/pubmed/27573027","Pieterman K, Batalle D, Dudink J, Tournier JD, Hughes EJ, Barnett M, Benders MJ, Edwards AD, Hoebeek FE, Counsell SJ.","Brain Struct Funct. 2017 May;222(4):1625-1634. doi: 10.1007/s00429-016-1296-8. Epub 2016 Aug 29.","Brain Struct Funct.  2017","PubMed","citation","PMID:27573027 | PMCID:PMC5406415","pubmed","27573027","create date:2016/08/31 | first author:Pieterman K",
"Sex Differences in White Matter Microstructure in the Human Brain Predominantly Reflect Differences in Sex Hormone Exposure.","/pubmed/27226438","van Hemmen J, Saris IMJ, Cohen-Kettenis PT, Veltman DJ, Pouwels PJW, Bakker J.","Cereb Cortex. 2017 May 1;27(5):2994-3001. doi: 10.1093/cercor/bhw156.","Cereb Cortex.  2017","PubMed","citation","PMID:27226438","pubmed","27226438","create date:2016/05/27 | first author:van Hemmen J",
"Disruption of white matter structural integrity and connectivity in posttraumatic stress disorder: A TBSS and tractography study.","/pubmed/28294462","Olson EA, Cui J, Fukunaga R, Nickerson LD, Rauch SL, Rosso IM.","Depress Anxiety. 2017 May;34(5):437-445. doi: 10.1002/da.22615. Epub 2017 Mar 15.","Depress Anxiety.  2017","PubMed","citation","PMID:28294462 | PMCID:PMC5407943","pubmed","28294462","create date:2017/03/16 | first author:Olson EA",
"White-matter crossing-fiber microstructure in adolescents prenatally exposed to cocaine.","/pubmed/28292689","Morie KP, Yip SW, Zhai ZW, Xu J, Hamilton KR, Sinha R, Mayes LC, Potenza MN.","Drug Alcohol Depend. 2017 May 1;174:23-29. doi: 10.1016/j.drugalcdep.2017.01.011. Epub 2017 Feb 28.","Drug Alcohol Depend.  2017","PubMed","citation","PMID:28292689 | PMCID:PMC5555052","pubmed","28292689","create date:2017/03/16 | first author:Morie KP",
"Genetic and environmental influences on mean diffusivity and volume in subcortical brain regions.","/pubmed/28240386","Gillespie NA, Neale MC, Hagler DJ Jr, Eyler LT, Fennema-Notestine C, Franz CE, Lyons MJ, McEvoy LK, Dale AM, Panizzon MS, Kremen WS.","Hum Brain Mapp. 2017 May;38(5):2589-2598. doi: 10.1002/hbm.23544. Epub 2017 Feb 27.","Hum Brain Mapp.  2017","PubMed","citation","PMID:28240386 | PMCID:PMC5810123","pubmed","28240386","create date:2017/02/28 | first author:Gillespie NA",
"Reversible splenial lesion syndrome with a hyperosmolar hyperglycemic state and neuroleptic malignant syndrome caused by olanzapine.","/pubmed/27863115","Kaino K, Kumagai R, Furukawa S, Isono M, Muramatsu A, Fujii M, Muta Y, Asada T, Fujihara K, Yagyu H.","J Diabetes Investig. 2017 May;8(3):392-394. doi: 10.1111/jdi.12597. Epub 2017 Jan 6.","J Diabetes Investig.  2017","PubMed","citation","PMID:27863115 | PMCID:PMC5415487","pubmed","27863115","create date:2016/11/20 | first author:Kaino K",
"Brain white matter changes in CPAP-treated obstructive sleep apnea patients with residual sleepiness.","/pubmed/27625326","Xiong Y, Zhou XJ, Nisi RA, Martin KR, Karaman MM, Cai K, Weaver TE.","J Magn Reson Imaging. 2017 May;45(5):1371-1378. doi: 10.1002/jmri.25463. Epub 2016 Sep 14.","J Magn Reson Imaging.  2017","PubMed","citation","PMID:27625326 | PMCID:PMC5350066","pubmed","27625326","create date:2016/09/15 | first author:Xiong Y",
"Evaluation of intravoxel incoherent motion fitting methods in low-perfused tissue.","/pubmed/27545824","Meeus EM, Novak J, Withey SB, Zarinabad N, Dehghani H, Peet AC.","J Magn Reson Imaging. 2017 May;45(5):1325-1334. doi: 10.1002/jmri.25411. Epub 2016 Aug 22.","J Magn Reson Imaging.  2017","PubMed","citation","PMID:27545824 | PMCID:PMC5412931","pubmed","27545824","create date:2016/08/23 | first author:Meeus EM",
"Analysis of the diffusion tensor imaging parameters of a normal cervical spinal cord in a healthy population.","/pubmed/27814138","Wei LF, Wang SS, Zheng ZC, Tian J, Xue L.","J Spinal Cord Med. 2017 May;40(3):338-345. doi: 10.1080/10790268.2016.1244905. Epub 2016 Nov 4.","J Spinal Cord Med.  2017","PubMed","citation","PMID:27814138 | PMCID:PMC5472022","pubmed","27814138","create date:2016/11/05 | first author:Wei LF",
"Multi-component diffusion characterization of radiation-induced white matter damage.","/pubmed/28222217","Karunamuni RA, White NS, McDonald CR, Connor M, Pettersson N, Seibert TM, Kuperman J, Farid N, Moiseenko V, Dale AM, Hattangadi-Gluth JA.","Med Phys. 2017 May;44(5):1747-1754. doi: 10.1002/mp.12170. Epub 2017 Mar 28.","Med Phys.  2017","PubMed","citation","PMID:28222217 | PMCID:PMC5462441","pubmed","28222217","create date:2017/02/22 | first author:Karunamuni RA",
