Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12
"Age-specific effects of structural and functional connectivity in prefrontal-amygdala circuitry in women with bipolar disorder.",/pubmed/29871591,"Tang Y, Ma Y, Chen X, Fan X, Jiang X, Zhou Y, Wang F, Wei S.",BMC Psychiatry. 2018 Jun 5;18(1):177. doi: 10.1186/s12888-018-1732-9.,BMC Psychiatry.  2018,PubMed,citation,PMID:29871591 | PMCID:PMC5989351,pubmed,29871591,create date:2018/06/07 | first author:Tang Y,
"Convergence Analysis of Micro-Lesions (CAML): An approach to mapping of diffuse lesions from carotid revascularization.",/pubmed/29868451,"Rosen AC, Soman S, Bhat J, Laird AR, Stephens J, Eickhoff SB, Fox PM, Long B, Dinishak D, Ortega M, Lane B, Wintermark M, Hitchner E, Zhou W.",Neuroimage Clin. 2018 Mar 16;18:553-559. doi: 10.1016/j.nicl.2018.01.020. eCollection 2018.,Neuroimage Clin.  2018,PubMed,citation,PMID:29868451 | PMCID:PMC5984594,pubmed,29868451,create date:2018/06/06 | first author:Rosen AC,
"Fixel-based analysis reveals alterations is brain microstructure and macrostructure of preterm-born infants at term equivalent age.",/pubmed/29868441,"Pannek K, Fripp J, George JM, Fiori S, Colditz PB, Boyd RN, Rose SE.",Neuroimage Clin. 2018 Jan 11;18:51-59. doi: 10.1016/j.nicl.2018.01.003. eCollection 2018.,Neuroimage Clin.  2018,PubMed,citation,PMID:29868441 | PMCID:PMC5984576,pubmed,29868441,create date:2018/06/06 | first author:Pannek K,
"Texture Analysis of T1-Weighted and Fluid-Attenuated Inversion Recovery Images Detects Abnormalities That Correlate With Cognitive Decline in Small Vessel Disease.",/pubmed/29866751,"Tozer DJ, Zeestraten E, Lawrence AJ, Barrick TR, Markus HS.",Stroke. 2018 Jul;49(7):1656-1661. doi: 10.1161/STROKEAHA.117.019970. Epub 2018 Jun 4.,Stroke.  2018,PubMed,citation,PMID:29866751 | PMCID:PMC6022812,pubmed,29866751,create date:2018/06/06 | first author:Tozer DJ,
"Age Differentiation within Gray Matter, White Matter, and between Memory and White Matter in an Adult Life Span Cohort.",/pubmed/29848485,"de Mooij SMM, Henson RNA, Waldorp LJ, Kievit RA.",J Neurosci. 2018 Jun 20;38(25):5826-5836. doi: 10.1523/JNEUROSCI.1627-17.2018. Epub 2018 May 30.,J Neurosci.  2018,PubMed,citation,PMID:29848485 | PMCID:PMC6010564,pubmed,29848485,create date:2018/06/01 | first author:de Mooij SMM,
"Diffusional kurtosis imaging and white matter microstructure modeling in a clinical study of major depressive disorder.",/pubmed/29846988,"Kamiya K, Okada N, Sawada K, Watanabe Y, Irie R, Hanaoka S, Suzuki Y, Koike S, Mori H, Kunimatsu A, Hori M, Aoki S, Kasai K, Abe O.",NMR Biomed. 2018 Jul;31(7):e3938. doi: 10.1002/nbm.3938. Epub 2018 May 30.,NMR Biomed.  2018,PubMed,citation,PMID:29846988 | PMCID:PMC6032871,pubmed,29846988,create date:2018/05/31 | first author:Kamiya K,
"The anatomy of the human medial forebrain bundle: Ventral tegmental area connections to reward-associated subcortical and frontal lobe regions.",/pubmed/29845013,"Coenen VA, Schumacher LV, Kaller C, Schlaepfer TE, Reinacher PC, Egger K, Urbach H, Reisert M.",Neuroimage Clin. 2018 Mar 18;18:770-783. doi: 10.1016/j.nicl.2018.03.019. eCollection 2018.,Neuroimage Clin.  2018,PubMed,citation,PMID:29845013 | PMCID:PMC5964495,pubmed,29845013,create date:2018/05/31 | first author:Coenen VA,
"Early bilateral and massive compromise of the frontal lobes.",/pubmed/29845003,"Ibáñez A, Zimerman M, Sedeño L, Lori N, Rapacioli M, Cardona JF, Suarez DMA, Herrera E, García AM, Manes F.",Neuroimage Clin. 2018 Feb 27;18:543-552. doi: 10.1016/j.nicl.2018.02.026. eCollection 2018.,Neuroimage Clin.  2018,PubMed,citation,PMID:29845003 | PMCID:PMC5964834,pubmed,29845003,create date:2018/05/31 | first author:Ibáñez A,
"Linking spatial gene expression patterns to sex-specific brain structural changes on a mouse model of 16p11.2 hemideletion.",/pubmed/29844452,"Kumar VJ, Grissom NM, McKee SE, Schoch H, Bowman N, Havekes R, Kumar M, Pickup S, Poptani H, Reyes TM, Hawrylycz M, Abel T, Nickl-Jockschat T.",Transl Psychiatry. 2018 May 29;8(1):109. doi: 10.1038/s41398-018-0157-z.,Transl Psychiatry.  2018,PubMed,citation,PMID:29844452 | PMCID:PMC5974415,pubmed,29844452,create date:2018/05/31 | first author:Kumar VJ,
"Horizontal gaze palsy with progressive scoliosis: a case report with magnetic resonance tractography and electrophysiological study.",/pubmed/29843650,"Lin CW, Lo CP, Tu MC.",BMC Neurol. 2018 May 29;18(1):75. doi: 10.1186/s12883-018-1081-9.,BMC Neurol.  2018,PubMed,citation,PMID:29843650 | PMCID:PMC5972445,pubmed,29843650,create date:2018/05/31 | first author:Lin CW,
"Effects of Acupuncture on Cancer-Related Cognitive Impairment in Chinese Gynecological Cancer Patients: A Pilot Cohort Study.",/pubmed/29806502,"Zeng Y, Cheng ASK, Song T, Sheng X, Wang S, Xie J, Chan CCH.",Integr Cancer Ther. 2018 Sep;17(3):737-746. doi: 10.1177/1534735418777109. Epub 2018 May 26.,Integr Cancer Ther.  2018,PubMed,citation,PMID:29806502 | PMCID:PMC6142078,pubmed,29806502,create date:2018/05/29 | first author:Zeng Y,
"Characterization of the murine orthotopic adamantinomatous craniopharyngioma PDX model by MRI in correlation with histology.",/pubmed/29795641,"Hölsken A, Schwarz M, Gillmann C, Pfister C, Uder M, Doerfler A, Buchfelder M, Schlaffer S, Fahlbusch R, Buslei R, Bäuerle T.",PLoS One. 2018 May 24;13(5):e0197895. doi: 10.1371/journal.pone.0197895. eCollection 2018.,PLoS One.  2018,PubMed,citation,PMID:29795641 | PMCID:PMC5993109,pubmed,29795641,create date:2018/05/26 | first author:Hölsken A,
"White matter microstructure is altered in cognitively normal middle-aged APOE-ε4 homozygotes.",/pubmed/29793545,"Operto G, Cacciaglia R, Grau-Rivera O, Falcon C, Brugulat-Serrat A, Ródenas P, Ramos R, Morán S, Esteller M, Bargalló N, Molinuevo JL, Gispert JD; ALFA Study..",Alzheimers Res Ther. 2018 May 24;10(1):48. doi: 10.1186/s13195-018-0375-x.,Alzheimers Res Ther.  2018,PubMed,citation,PMID:29793545 | PMCID:PMC5968505,pubmed,29793545,create date:2018/05/26 | first author:Operto G,
"Alterations of brain network hubs in reflex syncope: Evidence from a graph theoretical analysis based on DTI.",/pubmed/29791077,"Park BS, Lee YJ, Park JH, Kim IH, Park SH, Lee HJ, Park KM.",Brain Behav. 2018 Jun;8(6):e01006. doi: 10.1002/brb3.1006. Epub 2018 May 23.,Brain Behav.  2018,PubMed,citation,PMID:29791077 | PMCID:PMC5991578,pubmed,29791077,create date:2018/05/24 | first author:Park BS,
"Identical patterns of cortico-efferent tract involvement in primary lateral sclerosis and amyotrophic lateral sclerosis: A tract of interest-based MRI study.",/pubmed/29785360,"Müller HP, Gorges M, Kassubek R, Dorst J, Ludolph AC, Kassubek J.",Neuroimage Clin. 2018 Mar 15;18:762-769. doi: 10.1016/j.nicl.2018.03.018. eCollection 2018.,Neuroimage Clin.  2018,PubMed,citation,PMID:29785360 | PMCID:PMC5959739,pubmed,29785360,create date:2018/05/23 | first author:Müller HP,
"White matter microstructure, white matter lesions, and hypertension: An examination of early surrogate markers of vascular-related brain change in midlife.",/pubmed/29785359,"Haight T, Nick Bryan R, Erus G, Hsieh MK, Davatzikos C, Nasrallah I, D'Esposito M, Jacobs DR Jr, Lewis C, Schreiner P, Sidney S, Meirelles O, Launer LJ.",Neuroimage Clin. 2018 Mar 3;18:753-761. doi: 10.1016/j.nicl.2018.02.032. eCollection 2018.,Neuroimage Clin.  2018,PubMed,citation,PMID:29785359 | PMCID:PMC5959740,pubmed,29785359,create date:2018/05/23 | first author:Haight T,
"Sex Differences in the Adult Human Brain: Evidence from 5216 UK Biobank Participants.",/pubmed/29771288,"Ritchie SJ, Cox SR, Shen X, Lombardo MV, Reus LM, Alloza C, Harris MA, Alderson HL, Hunter S, Neilson E, Liewald DCM, Auyeung B, Whalley HC, Lawrie SM, Gale CR, Bastin ME, McIntosh AM, Deary IJ.",Cereb Cortex. 2018 Aug 1;28(8):2959-2975. doi: 10.1093/cercor/bhy109.,Cereb Cortex.  2018,PubMed,citation,PMID:29771288 | PMCID:PMC6041980,pubmed,29771288,create date:2018/05/18 | first author:Ritchie SJ,
"Diffusion markers of dendritic density and arborization in gray matter predict differences in intelligence.",/pubmed/29765024,"Genç E, Fraenz C, Schlüter C, Friedrich P, Hossiep R, Voelkle MC, Ling JM, Güntürkün O, Jung RE.",Nat Commun. 2018 May 15;9(1):1905. doi: 10.1038/s41467-018-04268-8.,Nat Commun.  2018,PubMed,citation,PMID:29765024 | PMCID:PMC5954098,pubmed,29765024,create date:2018/05/17 | first author:Genç E,
"Anisotropic conductivity tensor imaging for transcranial direct current stimulation (tDCS) using magnetic resonance diffusion tensor imaging (MR-DTI).",/pubmed/29763453,"Lee MB, Kim HJ, Woo EJ, Kwon OI.",PLoS One. 2018 May 15;13(5):e0197063. doi: 10.1371/journal.pone.0197063. eCollection 2018.,PLoS One.  2018,PubMed,citation,PMID:29763453 | PMCID:PMC5953498,pubmed,29763453,create date:2018/05/16 | first author:Lee MB,
"The asymmetry of neural symptoms in Wilson's disease patients detecting by diffusion tensor imaging, resting-state functional MRI, and susceptibility-weighted imaging.",/pubmed/29761003,"Zhou XX, Li XH, Chen DB, Wu C, Feng L, Chu JP, Yang ZY, Li XB, Qin H, Li GD, Huang HW, Liang YY, Liang XL.",Brain Behav. 2018 Apr 14;8(5):e00930. doi: 10.1002/brb3.930. eCollection 2018 May.,Brain Behav.  2018,PubMed,citation,PMID:29761003 | PMCID:PMC5943770,pubmed,29761003,create date:2018/05/16 | first author:Zhou XX,
"Genetic Study of White Matter Integrity in UK Biobank (N=8448) and the Overlap With Stroke, Depression, and Dementia.",/pubmed/29752348,"Rutten-Jacobs LCA, Tozer DJ, Duering M, Malik R, Dichgans M, Markus HS, Traylor M.",Stroke. 2018 Jun;49(6):1340-1347. doi: 10.1161/STROKEAHA.118.020811. Epub 2018 May 11.,Stroke.  2018,PubMed,citation,PMID:29752348 | PMCID:PMC5976227,pubmed,29752348,create date:2018/05/13 | first author:Rutten-Jacobs LCA,
"The effect of the total small vessel disease burden on the structural brain network.",/pubmed/29748646,"Xu X, Lau KK, Wong YK, Mak HKF, Hui ES.",Sci Rep. 2018 May 10;8(1):7442. doi: 10.1038/s41598-018-25917-4.,Sci Rep.  2018,PubMed,citation,PMID:29748646 | PMCID:PMC5945601,pubmed,29748646,create date:2018/05/12 | first author:Xu X,
"Axonal chronic injury in treatment-naïve HIV+ adults with asymptomatic neurocognitive impairment and its relationship with clinical variables and cognitive status.",/pubmed/29747571,"Li RL, Sun J, Tang ZC, Zhang JJ, Li HJ.",BMC Neurol. 2018 May 10;18(1):66. doi: 10.1186/s12883-018-1069-5.,BMC Neurol.  2018,PubMed,citation,PMID:29747571 | PMCID:PMC5943991,pubmed,29747571,create date:2018/05/12 | first author:Li RL,
"Free water modeling of peritumoral edema using multi-fiber tractography: Application to tracking the arcuate fasciculus for neurosurgical planning.",/pubmed/29746544,"Gong S, Zhang F, Norton I, Essayed WI, Unadkat P, Rigolo L, Pasternak O, Rathi Y, Hou L, Golby AJ, O'Donnell LJ.",PLoS One. 2018 May 10;13(5):e0197056. doi: 10.1371/journal.pone.0197056. eCollection 2018.,PLoS One.  2018,PubMed,citation,PMID:29746544 | PMCID:PMC5944935,pubmed,29746544,create date:2018/05/11 | first author:Gong S,
"Low mood, visual hallucinations, and falls - heralding the onset of rapidly progressive probable sporadic Creutzfeldt-Jakob disease in a 73-year old: a case report.",/pubmed/29734943,"Klotz DM, Penfold RS.",J Med Case Rep. 2018 May 8;12(1):128. doi: 10.1186/s13256-018-1649-4.,J Med Case Rep.  2018,PubMed,citation,PMID:29734943 | PMCID:PMC5938807,pubmed,29734943,create date:2018/05/08 | first author:Klotz DM,
"Network-Based Asymmetry of the Human Auditory System.",/pubmed/29722805,"Mišic B, Betzel RF, Griffa A, de Reus MA, He Y, Zuo XN, van den Heuvel MP, Hagmann P, Sporns O, Zatorre RJ.",Cereb Cortex. 2018 Jul 1;28(7):2655-2664. doi: 10.1093/cercor/bhy101.,Cereb Cortex.  2018,PubMed,citation,PMID:29722805 | PMCID:PMC5998951,pubmed,29722805,create date:2018/05/04 | first author:Mišic B,
"Altered White Matter Integrity in Human Immunodeficiency Virus-Associated Neurocognitive Disorder: A Tract-Based Spatial Statistics Study.",/pubmed/29713221,"Oh SW, Shin NY, Choi JY, Lee SK, Bang MR.",Korean J Radiol. 2018 May-Jun;19(3):431-442. doi: 10.3348/kjr.2018.19.3.431. Epub 2018 Apr 6.,Korean J Radiol.  2018,PubMed,citation,PMID:29713221 | PMCID:PMC5904470,pubmed,29713221,create date:2018/05/02 | first author:Oh SW,
"Diffusivity in the core of chronic multiple sclerosis lesions.",/pubmed/29694345,"Klistorner A, Wang C, Yiannikas C, Parratt J, Barton J, You Y, Graham SL, Barnett MH.",PLoS One. 2018 Apr 25;13(4):e0194142. doi: 10.1371/journal.pone.0194142. eCollection 2018.,PLoS One.  2018,PubMed,citation,PMID:29694345 | PMCID:PMC5918637,pubmed,29694345,create date:2018/04/26 | first author:Klistorner A,
"Peripheral DNA methylation, cognitive decline and brain aging: pilot findings from the Whitehall II imaging study.",/pubmed/29692214,"Chouliaras L, Pishva E, Haapakoski R, Zsoldos E, Mahmood A, Filippini N, Burrage J, Mill J, Kivimäki M, Lunnon K, Ebmeier KP.",Epigenomics. 2018 May;10(5):585-595. doi: 10.2217/epi-2017-0132. Epub 2018 Apr 25.,Epigenomics.  2018,PubMed,citation,PMID:29692214 | PMCID:PMC6021930,pubmed,29692214,create date:2018/04/26 | first author:Chouliaras L,
"Toward personalised diffusion MRI in psychiatry: improved delineation of fibre bundles with the highest-ever angular resolution in vivo tractography.",/pubmed/29691374,"Callaghan F, Maller JJ, Welton T, Middione MJ, Shankaranarayanan A, Grieve SM.",Transl Psychiatry. 2018 Apr 25;8(1):91. doi: 10.1038/s41398-018-0140-8.,Transl Psychiatry.  2018,PubMed,citation,PMID:29691374 | PMCID:PMC5915595,pubmed,29691374,create date:2018/04/25 | first author:Callaghan F,
"Development of white matter microstructure in relation to verbal and visuospatial working memory-A longitudinal study.",/pubmed/29689058,"Krogsrud SK, Fjell AM, Tamnes CK, Grydeland H, Due-Tønnessen P, Bjørnerud A, Sampaio-Baptista C, Andersson J, Johansen-Berg H, Walhovd KB.",PLoS One. 2018 Apr 24;13(4):e0195540. doi: 10.1371/journal.pone.0195540. eCollection 2018.,PLoS One.  2018,PubMed,citation,PMID:29689058 | PMCID:PMC5916522,pubmed,29689058,create date:2018/04/25 | first author:Krogsrud SK,
"Allostatic load as a predictor of grey matter volume and white matter integrity in old age: The Whitehall II MRI study.",/pubmed/29686319,"Zsoldos E, Filippini N, Mahmood A, Mackay CE, Singh-Manoux A, Kivimäki M, Jenkinson M, Ebmeier KP.",Sci Rep. 2018 Apr 23;8(1):6411. doi: 10.1038/s41598-018-24398-9.,Sci Rep.  2018,PubMed,citation,PMID:29686319 | PMCID:PMC5913085,pubmed,29686319,create date:2018/04/25 | first author:Zsoldos E,
"White matter alterations in the internal capsule and psychomotor impairment in melancholic depression.",/pubmed/29672517,"Hyett MP, Perry A, Breakspear M, Wen W, Parker GB.",PLoS One. 2018 Apr 19;13(4):e0195672. doi: 10.1371/journal.pone.0195672. eCollection 2018.,PLoS One.  2018,PubMed,citation,PMID:29672517 | PMCID:PMC5908181,pubmed,29672517,create date:2018/04/20 | first author:Hyett MP,
"Idiopathic basal ganglia calcification associated with cerebral micro-infarcts: a case report.",/pubmed/29665789,"Nishimoto T, Oka F, Ishihara H, Shinoyama M, Suzuki M.",BMC Neurol. 2018 Apr 17;18(1):42. doi: 10.1186/s12883-018-1048-x.,BMC Neurol.  2018,PubMed,citation,PMID:29665789 | PMCID:PMC5902954,pubmed,29665789,create date:2018/04/19 | first author:Nishimoto T,
"Human Neural Stem Cell Extracellular Vesicles Improve Recovery in a Porcine Model of Ischemic Stroke.",/pubmed/29650593,"Webb RL, Kaiser EE, Jurgielewicz BJ, Spellicy S, Scoville SL, Thompson TA, Swetenburg RL, Hess DC, West FD, Stice SL.",Stroke. 2018 May;49(5):1248-1256. doi: 10.1161/STROKEAHA.117.020353. Epub 2018 Apr 12.,Stroke.  2018,PubMed,citation,PMID:29650593 | PMCID:PMC5916046,pubmed,29650593,create date:2018/04/14 | first author:Webb RL,
"Shorter sleep duration and better sleep quality are associated with greater tissue density in the brain.",/pubmed/29643448,"Takeuchi H, Taki Y, Nouchi R, Yokoyama R, Kotozaki Y, Nakagawa S, Sekiguchi A, Iizuka K, Yamamoto Y, Hanawa S, Araki T, Miyauchi CM, Shinada T, Sakaki K, Nozawa T, Ikeda S, Yokota S, Daniele M, Sassa Y, Kawashima R.",Sci Rep. 2018 Apr 11;8(1):5833. doi: 10.1038/s41598-018-24226-0.,Sci Rep.  2018,PubMed,citation,PMID:29643448 | PMCID:PMC5895621,pubmed,29643448,create date:2018/04/13 | first author:Takeuchi H,
"Machine learning classification of first-episode schizophrenia spectrum disorders and controls using whole brain white matter fractional anisotropy.",/pubmed/29636016,"Mikolas P, Hlinka J, Skoch A, Pitra Z, Frodl T, Spaniel F, Hajek T.",BMC Psychiatry. 2018 Apr 10;18(1):97. doi: 10.1186/s12888-018-1678-y.,BMC Psychiatry.  2018,PubMed,citation,PMID:29636016 | PMCID:PMC5891928,pubmed,29636016,create date:2018/04/11 | first author:Mikolas P,
"Correcting B(0) Field Distortions in MRI Caused by Stainless Steel Orthodontic Appliances at 1.5 T Using Permanent Magnets - A Head Phantom Study.",/pubmed/29632343,"Wang ZJ, Park YJ, Morriss MC, Seo Y, Nguyen T, Hallac RR, Nava A, Chopra R, Chatzinoff Y, Price K, Rollins NK.",Sci Rep. 2018 Apr 9;8(1):5706. doi: 10.1038/s41598-018-23890-6.,Sci Rep.  2018,PubMed,citation,PMID:29632343 | PMCID:PMC5890254,pubmed,29632343,create date:2018/04/11 | first author:Wang ZJ,
"Toward a theory of coactivation patterns in excitable neural networks.",/pubmed/29630592,"Messé A, Hütt MT, Hilgetag CC.",PLoS Comput Biol. 2018 Apr 9;14(4):e1006084. doi: 10.1371/journal.pcbi.1006084. eCollection 2018 Apr.,PLoS Comput Biol.  2018,PubMed,citation,PMID:29630592 | PMCID:PMC5908206,pubmed,29630592,create date:2018/04/10 | first author:Messé A,
"Magnetic resonance imaging does not reveal structural alterations in the brain of grapheme-color synesthetes.",/pubmed/29617401,"Dojat M, Pizzagalli F, Hupé JM.",PLoS One. 2018 Apr 4;13(4):e0194422. doi: 10.1371/journal.pone.0194422. eCollection 2018.,PLoS One.  2018,PubMed,citation,PMID:29617401 | PMCID:PMC5884511,pubmed,29617401,create date:2018/04/05 | first author:Dojat M,
"Age is reflected in the Fractal Dimensionality of MRI Diffusion Based Tractography.",/pubmed/29615717,"Reishofer G, Studencnik F, Koschutnig K, Deutschmann H, Ahammer H, Wood G.",Sci Rep. 2018 Apr 3;8(1):5431. doi: 10.1038/s41598-018-23769-6.,Sci Rep.  2018,PubMed,citation,PMID:29615717 | PMCID:PMC5883031,pubmed,29615717,create date:2018/04/05 | first author:Reishofer G,
"Lesion mapping in acute stroke aphasia and its implications for recovery.",/pubmed/29605593,"Forkel SJ, Catani M.",Neuropsychologia. 2018 Jul 1;115:88-100. doi: 10.1016/j.neuropsychologia.2018.03.036. Epub 2018 Mar 30.,Neuropsychologia.  2018,PubMed,citation,PMID:29605593 | PMCID:PMC6018610,pubmed,29605593,create date:2018/04/02 | first author:Forkel SJ,
"Schizophrenia moderates the relationship between white matter integrity and cognition.",/pubmed/29602641,"Castro-de-Araujo LFS, Allin M, Picchioni MM, Mcdonald C, Pantelis C, Kanaan RAA.",Schizophr Res. 2018 Sep;199:250-256. doi: 10.1016/j.schres.2018.03.033. Epub 2018 Mar 28.,Schizophr Res.  2018,PubMed,citation,PMID:29602641 | PMCID:PMC6179965,pubmed,29602641,create date:2018/04/01 | first author:Castro-de-Araujo LFS,
"Sensitivity of different MRI sequences in the early detection of melanoma brain metastases.",/pubmed/29596475,"Deike-Hofmann K, Thünemann D, Breckwoldt MO, Schwarz D, Radbruch A, Enk A, Bendszus M, Hassel J, Schlemmer HP, Bäumer P.",PLoS One. 2018 Mar 29;13(3):e0193946. doi: 10.1371/journal.pone.0193946. eCollection 2018.,PLoS One.  2018,PubMed,citation,PMID:29596475 | PMCID:PMC5875773,pubmed,29596475,create date:2018/03/30 | first author:Deike-Hofmann K,
"Diffusion tensor tractography of the mammillothalamic tract in the human brain using a high spatial resolution DTI technique.",/pubmed/29588461,"Kamali A, Zhang CC, Riascos RF, Tandon N, Bonafante-Mejia EE, Patel R, Lincoln JA, Rabiei P, Ocasio L, Younes K, Hasan KM.",Sci Rep. 2018 Mar 27;8(1):5229. doi: 10.1038/s41598-018-23452-w.,Sci Rep.  2018,PubMed,citation,PMID:29588461 | PMCID:PMC5869722,pubmed,29588461,create date:2018/03/29 | first author:Kamali A,
"A diffusion model-free framework with echo time dependence for free-water elimination and brain tissue microstructure characterization.",/pubmed/29573009,"Molina-Romero M, Gómez PA, Sperl JI, Czisch M, Sämann PG, Jones DK, Menzel MI, Menze BH.",Magn Reson Med. 2018 Nov;80(5):2155-2172. doi: 10.1002/mrm.27181. Epub 2018 Mar 23.,Magn Reson Med.  2018,PubMed,citation,PMID:29573009 | PMCID:PMC6790970,pubmed,29573009,create date:2018/03/25 | first author:Molina-Romero M,
"Apparent diffusion coefficient for molecular subtyping of non-gadolinium-enhancing WHO grade II/III glioma: volumetric segmentation versus two-dimensional region of interest analysis.",/pubmed/29572636,"Thust SC, Hassanein S, Bisdas S, Rees JH, Hyare H, Maynard JA, Brandner S, Tur C, Jäger HR, Yousry TA, Mancini L.",Eur Radiol. 2018 Sep;28(9):3779-3788. doi: 10.1007/s00330-018-5351-0. Epub 2018 Mar 23.,Eur Radiol.  2018,PubMed,citation,PMID:29572636 | PMCID:PMC6096613,pubmed,29572636,create date:2018/03/25 | first author:Thust SC,
"Analysis of alterations in white matter integrity of adult patients with comitant exotropia.",/pubmed/29569963,"Li D, Li S, Zeng X.",J Int Med Res. 2018 May;46(5):1963-1972. doi: 10.1177/0300060518763704. Epub 2018 Mar 23.,J Int Med Res.  2018,PubMed,citation,PMID:29569963 | PMCID:PMC5991243,pubmed,29569963,create date:2018/03/24 | first author:Li D,
"Longitudinal microstructural changes of cerebral white matter and their association with mobility performance in older persons.",/pubmed/29554115,"Moscufo N, Wakefield DB, Meier DS, Cavallari M, Guttmann CRG, White WB, Wolfson L.",PLoS One. 2018 Mar 19;13(3):e0194051. doi: 10.1371/journal.pone.0194051. eCollection 2018.,PLoS One.  2018,PubMed,citation,PMID:29554115 | PMCID:PMC5858767,pubmed,29554115,create date:2018/03/20 | first author:Moscufo N,
"How accurate are prenatal tractography results? A postnatal in vivo follow-up study using diffusion tensor imaging.",/pubmed/29550863,"Song JW, Gruber GM, Patsch JM, Seidl R, Prayer D, Kasprian G.",Pediatr Radiol. 2018 Apr;48(4):486-498. doi: 10.1007/s00247-017-3982-y. Epub 2018 Mar 17.,Pediatr Radiol.  2018,PubMed,citation,PMID:29550863 | PMCID:PMC5857276,pubmed,29550863,create date:2018/03/20 | first author:Song JW,
"Function-specific and Enhanced Brain Structural Connectivity Mapping via Joint Modeling of Diffusion and Functional MRI.",/pubmed/29549287,"Chu SH, Parhi KK, Lenglet C.",Sci Rep. 2018 Mar 16;8(1):4741. doi: 10.1038/s41598-018-23051-9.,Sci Rep.  2018,PubMed,citation,PMID:29549287 | PMCID:PMC5856752,pubmed,29549287,create date:2018/03/20 | first author:Chu SH,
"Children's academic attainment is linked to the global organization of the white matter connectome.",/pubmed/29532626,"Bathelt J, Gathercole SE, Butterfield S; CALM team., Astle DE.",Dev Sci. 2018 Sep;21(5):e12662. doi: 10.1111/desc.12662. Epub 2018 Mar 13.,Dev Sci.  2018,PubMed,citation,PMID:29532626 | PMCID:PMC6175394,pubmed,29532626,create date:2018/03/14 | first author:Bathelt J,
"Combining viscoelasticity, diffusivity and volume of the hippocampus for the diagnosis of Alzheimer's disease based on magnetic resonance imaging.",/pubmed/29527504,"Gerischer LM, Fehlner A, Köbe T, Prehn K, Antonenko D, Grittner U, Braun J, Sack I, Flöel A.",Neuroimage Clin. 2017 Dec 20;18:485-493. doi: 10.1016/j.nicl.2017.12.023. eCollection 2018.,Neuroimage Clin.  2018,PubMed,citation,PMID:29527504 | PMCID:PMC5842309,pubmed,29527504,create date:2018/03/13 | first author:Gerischer LM,
"The potential value of probabilistic tractography-based for MR-guided focused ultrasound thalamotomy for essential tremor.",/pubmed/29527503,"Tsolaki E, Downes A, Speier W, Elias WJ, Pouratian N.",Neuroimage Clin. 2017 Dec 12;17:1019-1027. doi: 10.1016/j.nicl.2017.12.018. eCollection 2018.,Neuroimage Clin.  2018,PubMed,citation,PMID:29527503 | PMCID:PMC5842733,pubmed,29527503,create date:2018/03/13 | first author:Tsolaki E,
"Structural and effective connectivity in focal epilepsy.",/pubmed/29527498,"Parker CS, Clayden JD, Cardoso MJ, Rodionov R, Duncan JS, Scott C, Diehl B, Ourselin S.",Neuroimage Clin. 2017 Dec 12;17:943-952. doi: 10.1016/j.nicl.2017.12.020. eCollection 2018.,Neuroimage Clin.  2018,PubMed,citation,PMID:29527498 | PMCID:PMC5842760,pubmed,29527498,create date:2018/03/13 | first author:Parker CS,
"Fibre-specific white matter changes in multiple sclerosis patients with optic neuritis.",/pubmed/29527473,"Gajamange S, Raffelt D, Dhollander T, Lui E, van der Walt A, Kilpatrick T, Fielding J, Connelly A, Kolbe S.",Neuroimage Clin. 2017 Sep 29;17:60-68. doi: 10.1016/j.nicl.2017.09.027. eCollection 2018.,Neuroimage Clin.  2018,PubMed,citation,PMID:29527473 | PMCID:PMC5842545,pubmed,29527473,create date:2018/03/13 | first author:Gajamange S,
"ADHD and maturation of brain white matter: A DTI study in medication naive children and adults.",/pubmed/29527472,"Bouziane C, Caan MWA, Tamminga HGH, Schrantee A, Bottelier MA, de Ruiter MB, Kooij SJJ, Reneman L.",Neuroimage Clin. 2017 Sep 29;17:53-59. doi: 10.1016/j.nicl.2017.09.026. eCollection 2018.,Neuroimage Clin.  2018,PubMed,citation,PMID:29527472 | PMCID:PMC5842546,pubmed,29527472,create date:2018/03/13 | first author:Bouziane C,
"Structural connectome with high angular resolution diffusion imaging MRI: assessing the impact of diffusion weighting and sampling on graph-theoretic measures.",/pubmed/29520641,"Caiazzo G, Fratello M, Di Nardo F, Trojsi F, Tedeschi G, Esposito F.",Neuroradiology. 2018 May;60(5):497-504. doi: 10.1007/s00234-018-2003-7. Epub 2018 Mar 8.,Neuroradiology.  2018,PubMed,citation,PMID:29520641 | PMCID:PMC5906499,pubmed,29520641,create date:2018/03/10 | first author:Caiazzo G,
"Injury of leg somatotopy of corticospinal tract at corona radiata by ventriculoperitoneal shunt: A case report.",/pubmed/29517704,"Jang SH, Kwon Y.",Medicine (Baltimore). 2018 Mar;97(10):e9983. doi: 10.1097/MD.0000000000009983.,Medicine (Baltimore).  2018,PubMed,citation,PMID:29517704 | PMCID:PMC5882449,pubmed,29517704,create date:2018/03/09 | first author:Jang SH,
